counts1,counts2,count3,fold1,fold2,fold3
54.9,168.9,62.1,0.3,0.9,2.7
9.3,0.0,6.8,75.6,1.4,0.0
68.9,117.7,68.9,0.6,1.0,1.7
37.2,68.1,40.5,0.5,0.9,1.7
53.0,61.7,41.9,0.9,1.3,1.5
91.2,98.5,87.8,0.9,1.0,1.1
77.2,96.9,68.9,0.8,1.1,1.4
91.2,61.7,62.1,1.5,1.5,1.0
96.8,172.2,112.1,0.6,0.9,1.5
67.9,152.1,81.0,0.4,0.8,1.9
72.6,112.1,81.0,0.6,0.9,1.4
73.5,76.1,74.3,1.0,1.0,1.0
179.6,354.7,253.9,0.5,0.7,1.4
149.8,165.7,129.7,0.9,1.2,1.3
93.0,102.5,86.4,0.9,1.1,1.2
419.6,400.4,412.0,1.0,1.0,1.0
123.8,143.3,105.4,0.9,1.2,1.4
134.0,299.5,114.8,0.4,1.2,2.6
135.8,120.9,275.5,1.1,0.5,0.4
87.5,164.1,87.8,0.5,1.0,1.9
138.6,281.8,170.2,0.5,0.8,1.7
199.1,209.0,159.4,1.0,1.2,1.3
54.9,70.5,51.3,0.8,1.1,1.4
129.3,193.0,140.5,0.7,0.9,1.4
28.8,54.4,44.6,0.5,0.6,1.2
12.1,4.8,12.2,2.5,1.0,0.4
8.4,96.1,9.5,0.1,0.9,10.2
108.9,529.3,272.8,0.2,0.4,1.9
47.5,110.5,74.3,0.4,0.6,1.5
62.3,46.4,54.0,1.3,1.2,0.9
85.6,88.9,68.9,1.0,1.2,1.3
39.1,124.1,47.3,0.3,0.8,2.6
24.2,21.6,21.6,1.1,1.1,1.0
4.7,21.6,6.8,0.2,0.7,3.2
53.0,80.1,68.9,0.7,0.8,1.2
22.3,32.8,13.5,0.7,1.7,2.4
35.4,16.8,20.3,2.1,1.7,0.8
9.3,0.0,6.8,75.6,1.4,0.0
58.6,21.6,55.4,2.7,1.1,0.4
30.7,20.0,31.1,1.5,1.0,0.6
16.7,42.4,18.9,0.4,0.9,2.2
798.3,1834.4,1072.5,0.4,0.7,1.7
4.7,0.0,4.1,37.8,1.1,0.0
92.1,101.7,100.0,0.9,0.9,1.0
